"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC Part Number","Mouser Part Number"
"D1","LED","~","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","","C434432","710-150080GS75000"
"F1","Polyfuse 10A","~","Fuse:Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder","1","","C22446882",""
"F2","10A","~","FanPico:Fuseholder_Clip-5x20mm_Littelfuse_445-030_Inline_P20.50x5.20mm_D1.30mm_Horizontal","1","","C717027",""
"J1","Power Input 2","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","1","","C1509679",""
"J2","Power Input 1","~","FanPico:TE_MATE-N-LOK_350211-1_1x04_P5.08mm_Vertical_and_RightAngle","1","","C305826 or C7461144","571-3502111 / 571-1748041"
"J3","AUX Power Output","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","1","","C1509679",""
"J5","FAN1","~","Connector:FanPinHeader_1x04_P2.54mm_Vertical","1","","C240840","538-47053-1000"
"J6","FAN2","~","Connector:FanPinHeader_1x04_P2.54mm_Vertical","1","","C240840","538-47053-1000"
"J7","FAN3","~","Connector:FanPinHeader_1x04_P2.54mm_Vertical","1","","C240840","538-47053-1000"
"J8","FAN4","~","Connector:FanPinHeader_1x04_P2.54mm_Vertical","1","","C240840","538-47053-1000"
"J13","FANCTRL1","~","Connector:FanPinHeader_1x04_P2.54mm_Vertical","1","","C240840","538-47053-1000"
"J14","FANCTRL2","~","Connector:FanPinHeader_1x04_P2.54mm_Vertical","1","","C240840","538-47053-1000"
"J15","FANCTRL3","~","Connector:FanPinHeader_1x04_P2.54mm_Vertical","1","","C240840","538-47053-1000"
"J16","FANCTRL4","~","Connector:FanPinHeader_1x04_P2.54mm_Vertical","1","","C240840","538-47053-1000"
"R1","49.9K","~","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","1","","C114624",""
